1 1:0.21865117635185144 2:0.1 3:0.1 4:0.1 5:0.1 6:0.1 7:0.04539007092198582 8:0.750354609929078 9:225.0 10:224.5 11:224.5 12:224.5 13:1259.0 14:128.57142857142858 15:114.53490689723891 16:0.5770287887017925 17:0.8478982655681462 18:876.3071166639758 19:-505.7998658869495 20:1018.0692800019125 21:-2108.994151348559 22:-2995.62414773978 23:-1870.5450830839902
1 1:0.6083169429615061 2:0.962109375 3:1.0 4:0.6352864583333333 5:0.1 6:0.004973601652766088 7:0.11860127018134517 8:0.6144310964878721 9:488.0 10:487.5 11:487.5 12:487.5 13:15514.0 14:278.85714285714283 15:257.05387349260275 16:12.119282534694944 17:0.9768355368676859 18:730.8394986779834 19:-124.89149683581326 20:467.83719526261893 21:-684.9632236026506 22:-1968.8066472904775 23:1497.350570979624
1 1:0.10609364977549711 2:1.0 3:0.4328018223234624 4:0.4123006833712984 5:0.1 6:0.1 7:0.1 8:0.1 9:279.5 10:279.0 11:279.0 12:279.0 13:1406.0 14:159.71428571428572 15:158.35648237506442 16:3.5264693654141768 17:0.940330363386186 18:29.284509528908742 19:-15.035594838095774 20:28.22558449931155 21:-59.404561587608086 22:-103.65246189534962 23:80.31826698217701
1 1:0.8165889917998939 2:0.367511306610495 3:0.23461991202527724 4:0.20748404683724675 5:0.1 6:0.004458882731384165 7:0.07267978852156189 8:0.3133957576915727 9:333.0 10:332.5 11:332.5 12:332.5 13:26203.0 14:190.28571428571428 15:168.65917812958457 16:25.878329385975 17:0.9526137968787214 18:11349.020681996873 19:-5953.364740026556 20:8839.588516649988 21:-15715.427819736835 22:-15111.125877372546 23:1363.4812654161688
1 1:0.0019981946136385545 2:1.0 3:0.8444444444444444 4:0.5743589743589743 5:0.1 6:0.1 7:0.1 8:0.1 9:296.5 10:296.0 11:296.0 12:296.0 13:1467.0 14:169.42857142857142 15:179.59625922198552 16:2.288344473216828 17:0.9332420746196967 18:146.10423775835991 19:-113.43541793696858 20:112.8820876493095 21:-422.7388969753967 22:-550.3824228427267 23:198.9215230205763
1 1:0.8237778930980799 2:0.3118445404071561 3:0.21708136267050518 4:0.28154774144903694 5:0.003872216844143272 6:0.1185494079976171 7:0.0997592275423834 8:0.14478615930697247 9:317.0 10:316.5 11:316.5 12:316.5 13:44546.0 14:181.14285714285714 15:182.16666511069204 16:15.695790360293568 17:0.9752539779851935 18:15305.61256726139 19:2249.3876914540424 20:10651.098534233459 21:1411.734404017747 22:1074.4259981804496 23:7428.811337056006
1 1:0.6130992145887876 2:0.3844564936741544 3:0.34753421120578365 4:0.4265427317325071 5:0.1 6:0.1 7:0.1 8:0.1 9:381.5 10:381.0 11:381.0 12:381.0 13:7500.0 14:218.0 15:207.84678422887788 16:4.828318109587658 17:0.9554825904816951 18:1997.7128456894704 19:-766.4858947357214 20:6998.04106819597 21:-5421.712409334457 22:3596.89957162971 23:-3823.3179279946035
1 1:0.5307853046943337 2:0.8391411154581021 3:0.6220544081521244 4:1.0 5:0.07450276373600416 6:0.15887938772617755 7:0.07965228894033165 8:0.15760381726272027 9:290.5 10:290.0 11:290.0 12:290.0 13:29637.0 14:166.0 15:152.17189528387203 16:32.23113720126145 17:0.9743822089746143 18:4407.3186841007655 19:-3904.6095188338822 20:-3701.3550756960326 21:-959.7527441417092 22:806.0151913225926 23:-1997.0021413076856
1 1:1.0 2:0.3258873929008568 3:0.25585220318237456 4:0.33946603427172584 5:0.0937106197731699 6:0.46580364302898386 7:0.42106770534998283 8:0.5107114216977889 9:289.0 10:288.5 11:288.5 12:288.5 13:41924.0 14:165.14285714285714 15:156.63463270702715 16:32.96808403230817 17:0.9697231706178046 18:12952.665888590811 19:-11302.593238597661 20:-13833.299121244578 21:-4173.382472313426 22:-2013.185957121795 23:-1497.0284138827685
1 1:0.10359446667763098 2:1.0 3:0.45813953488372094 4:0.40813953488372096 5:0.1 6:0.1 7:0.1 8:0.1 9:274.5 10:274.0 11:274.0 12:274.0 13:1388.0 14:156.85714285714286 15:156.57442645722247 16:3.4075170789712983 17:0.9430514091613186 18:27.69296009798979 19:-14.813389111865014 20:29.8964083702922 21:-60.78701903934541 22:-97.13170273045696 23:69.87259650229244
