2 1:1.0 2:0.044878466034642524 3:0.4013365735115431 4:0.8329283110571082 5:0.8601458080194411 6:1.0 7:1.0 8:0.16225736341152663 9:0.09600539608783631 10:26810.0 11:37.892010883942405 12:4851.997595099521 13:-5457.977499043702 14:2937.784581901194 15:-3561.6487794812724 16:-385.48962348713667
2 1:0.28056497175141243 2:0.059483454398708634 3:0.7499617912272658 4:1.0 5:0.8436497019715726 6:0.16001834021091244 7:0.55901774659513 8:0.11112257531985142 9:0.02486586875773834 10:10535.0 11:3.0122297571436847 12:4922.025770059956 13:6287.988066973884 14:-9476.900944676183 15:7179.45081279743 16:3101.308071391761
2 1:1.0 2:0.14314640454298627 3:0.1 4:0.1 5:0.03425457376411055 6:1.0 7:1.0 8:0.2261968085106383 9:0.08962765957446808 10:8583.0 11:10.63780612646665 12:10.504226244065093 13:-20.16941744296429 14:11.260439167574697 15:-30.695070503652264 16:3.257581458068218
2 1:1.0 2:0.02013201320132013 3:0.3766327063740857 4:0.5254049111807733 5:0.48621995820271685 6:1.0 7:0.8292772052912373 8:0.0895271504786962 9:0.048015786011839506 10:45160.0 11:32.52233126071141 12:5883.321626335003 13:-2936.504215429836 14:-2885.076896042285 15:-3464.4448299662595 16:5449.375763500111
2 1:0.9343050463501148 2:0.16876807058332588 3:0.3811265544989027 4:1.0 5:0.77005608388198 6:0.08632040965618142 7:0.09559804357492219 8:0.0037053505261597747 9:0.0007410701052319549 10:6135.0 11:2.4598744370137844 12:2593.5889526255264 13:-3745.9772247716887 14:5537.428398693824 15:2153.7619007266517 16:3820.9085207294206
2 1:1.0 2:0.11980086474636137 3:0.1 4:0.021739130434782608 5:0.12368815592203898 6:0.5877061469265368 7:1.0 8:0.17661589131329766 9:0.04857966241251544 10:2559.0 11:8.926797209663244 12:40.10704565915763 13:-78.91097325892409 14:68.52022551083473 15:-114.43793496578583 16:47.57081659923787
2 1:0.2295864262990456 2:0.22489016815633994 3:0.1 4:0.1 5:0.03857984005624396 6:0.6876702697952368 7:1.0 8:0.17139334155363747 9:0.15881627620221947 10:22877.0 11:19.775822535679627 12:20.690142601946395 13:-4.349137636534552 14:-24.966697951984866 15:-4.491542793872359 16:-5.9091378958617495
2 1:1.0 2:0.05830539551856479 3:0.1 4:0.1 5:0.009962640099626401 6:1.0 7:0.3704918032786885 8:0.04900310146211786 9:0.05369960124058485 10:5779.0 11:13.63856755684823 12:0.0 13:0.0 14:0.0 15:0.0 16:0.0
2 1:1.0 2:0.24463513920997085 3:0.3590730054044151 4:1.0 5:0.5986076761014931 6:0.5470825318310891 7:1.0 8:0.1818611490389665 9:0.09203339985295662 10:42388.0 11:21.660182895209218 12:12502.575709526931 13:9865.091094963906 14:35511.84263039465 15:17131.982715736332 16:652.0453617039486
2 1:1.0 2:0.1110017042226851 3:0.6582145171743357 4:1.0 5:0.7209980557355801 6:0.709899546338302 7:0.8152638424377555 8:0.15760869565217392 9:0.11752136752136752 10:30202.0 11:38.582576389654136 12:8623.014816718889 13:-2096.5894451642043 14:26464.97714643868 15:10653.788143267215 16:4751.671738431357
2 1:1.0 2:0.1515519789784858 3:0.4592666005946482 4:0.8808721506442022 5:1.0 6:0.13994053518334984 7:0.23246714156717166 8:0.01856125213203572 9:0.005217216815491121 10:7520.0 11:3.2059005798769418 12:3303.4199988153796 13:2967.5757209712992 14:8332.093309549624 15:725.9672645904764 16:-2353.9323207796883
2 1:0.3013934129569309 2:0.20263947055478 3:0.11929190751445087 4:0.8058526011560694 5:0.754985549132948 6:1.0 7:1.0 8:0.2412856496152105 9:0.17175724975368145 10:40722.0 11:19.576550978612836 12:6327.045607675208 13:3935.0496488619415 14:3485.9161731831045 15:-14801.112891921604 16:3617.742440466844
2 1:1.0 2:0.30866286290250006 3:0.5026499703562638 4:1.0 5:0.5790050484181024 6:0.6798835809633316 7:1.0 8:0.6262302096705178 9:0.718913136499786 10:125638.0 11:43.07437825737171 12:29994.022265212414 13:-15042.593935135585 14:9372.682796491747 15:3868.1416393640084 16:2256.015771670004
