1 1:0.3610229684577721 2:0.0847500367747494 3:0.10353668018576502 4:0.026498833715090257 5:0.012209216802908358 6:0.1334308705193855 7:0.15654718361375275 8:0.09553767373811266 9:0.022238478419897584 10:0.1 11:0.5454161162483487 12:0.11799207397622193 13:0.11624834874504623 14:0.029379128137384414 15:0.017912813738441214 16:0.9334515693527593 17:0.9518963054929426 18:910.8977667887027 19:-1609.5808218646528 20:38.977791056001216
1 1:1.0 2:0.28171784504425745 3:0.3088296361053437 4:0.09109386952245656 5:0.029297344552507924 6:0.058284762697751874 7:0.19109075770191508 8:0.10199833472106577 9:0.1 10:0.1 11:1.0 12:0.22559354226020892 13:0.150664767331434 14:0.027730294396961064 15:0.006885090218423552 16:0.975574381949598 17:0.9832448973970952 18:674.7939761699082 19:36.41162221753039 20:432.2380349419101
1 1:1.0 2:0.28171784504425745 3:0.3088296361053437 4:0.09109386952245656 5:0.029297344552507924 6:0.1 7:0.23348300192431046 8:0.3033996151379089 9:0.1 10:0.1 11:1.0 12:0.2071848869619077 13:0.15267884794053888 14:0.020749458036543822 15:0.0004645401052957572 16:0.9893089511382207 17:0.9929037963235613 18:236.36485845054565 19:-111.37198803797538 20:-71.71119425612132
1 1:0.813861339710675 2:0.2458090079951232 3:0.2676842278023962 4:0.0826944268598626 5:0.04712667932756559 6:0.1 7:0.1 8:0.07849829351535836 9:0.1 10:0.1 11:1.0 12:0.2793040293040293 13:0.27197802197802196 14:0.06684981684981685 15:0.0018315018315018315 16:0.9944205739562927 17:0.9958825616342645 18:0.10190541322924948 19:-0.7145397558985276 20:0.5399651519036753
1 1:0.747518800537495 2:0.13637756665645112 3:0.11417053678776021 4:0.025436714679742567 5:0.014262476720337584 6:0.0260347129506008 7:0.6955941255006676 8:0.7189586114819759 9:0.1 10:0.1 11:1.0 12:0.16462383770076078 13:0.09234995773457312 14:0.01162299239222316 15:0.008241758241758242 16:0.9808498139228734 17:0.9860390375661355 18:1168.6107124873788 19:-135.72912239688569 20:201.2781157052649
1 1:1.0 2:0.24624128060473002 3:0.26240168968679656 4:0.08658255287218965 5:0.07236750687824806 6:0.1 7:0.1 8:0.007132667617689016 9:0.1 10:0.1 11:1.0 12:0.4642857142857143 13:0.45161290322580644 14:0.32142857142857145 15:0.29147465437788017 16:0.991815667601017 17:0.9943496962336799 18:0.0 19:0.0 20:0.0
1 1:0.8632731001803459 2:0.16759786413946745 3:0.1337034548604972 4:0.028360267336185862 5:0.008981930054103752 6:0.017067351807671133 7:1.0 8:0.6628739218205175 9:0.1 10:0.1 11:1.0 12:0.26333859781638397 13:0.1699512463091396 14:0.0197074778548376 15:0.006798049852365584 16:0.9278711230559625 17:0.9546803454826498 18:1959.4304304515915 19:10618.536652187951 20:-7629.012346446439
1 1:0.5392162444254673 2:0.14452984154094317 3:0.19240914697789163 4:0.05002372141569409 5:0.02319005598254104 6:0.004746835443037975 7:1.0 8:0.9050632911392406 9:0.1 10:0.1 11:0.30548730548730546 12:0.029484029484029485 13:0.025389025389025387 14:0.015561015561015561 15:0.000819000819000819 16:0.9952140393889982 17:0.9969295765853282 18:3.989906599319978 19:-619.9214229031801 20:-8.551218209897092
1 1:1.0 2:0.36614944659217286 3:0.4621970379000512 4:0.19716146798707831 5:0.1813271196314145 6:0.1 7:0.0013395847287340924 8:0.15338245144005358 9:0.0013395847287340924 10:0.1 11:1.0 12:0.5069098949695965 13:0.7213930348258707 14:0.3195135433941404 15:0.39303482587064675 16:0.985269171488819 17:0.9898646376497833 18:43.90345488110462 19:0.5888421162859124 20:27.44272268718958
1 1:0.49948178572799506 2:0.09546658477601627 3:0.098902153468197 4:0.02898161298990442 5:0.008118690261410311 6:0.6232157602925563 7:0.7942668396838504 8:0.2682552789902088 9:0.02076206205025363 10:0.1 11:0.8995338117437536 12:0.17002776177256299 13:0.15179927714629932 14:0.05154261170184904 15:0.021633230317950867 16:0.8748306911223189 17:0.9196490275060006 18:4100.210483963392 19:8559.120559289548 20:-2174.3482441894917
